317.8,10599
317.8,12923
317.8,20134
317.8,47551
317.8,5028
317.85,11362
317.85,15407
317.85,49754
317.8,5546
317.85,6495
317.85,9439
317.9,27860
317.9,36197
317.9,43254
317.95,110918
317.95,11375
317.95,11480
317.95,12368
317.95,13652
317.9,51588
317.95,24963
317.95,35872
317.95,37910
317.95,4721
317.9,54734
317.95,54896
317.95,5988
317.95,6271
317.95,76970
317.95,79883
317.95,86217
318.0,15070
318.0,16794
318.0,18039
318.0,22249
318.0,29597
318.0,29662
318.0,31756
318.0,32023
318.0,34778
318.0,36389
318.0,37618
318.0,38573
318.0,40833
318.0,42062
318.0,42692
318.0,43186
318.0,43793
318.0,4750
318.05,10672
318.05,11949
318.05,17069
318.05,21063
318.05,22028
318.05,223948
318.05,23368
318.05,24852
318.05,24892
318.05,25514
318.05,25678
318.05,27761
318.05,27797
318.05,2903
318.05,29879
318.05,31624
318.05,32653
318.05,3392
318.05,35184
318.05,35253
318.05,37709
318.05,38673
318.05,38909
318.05,45982
318.05,4610
318.05,48835
318.05,50688
318.0,55782
318.0,55877
318.05,61706
318.05,7315
318.05,80469
318.05,8529
318.0,5855
318.05,8899
318.0,6094
318.0,64716
318.0,67331
318.0,71193
318.0,7358
318.0,7542
318.0,88704
318.0,8961
318.0,9379
318.0,95519
318.1,15025
318.1,16142
318.1,29402
318.1,4368
318.15,13950
318.15,14271
318.15,18408
318.15,22738
318.15,23769
318.15,35494
318.15,35848
318.15,36056
318.15,36953
318.15,37105
318.15,47588
318.15,5545
318.15,8552
318.1,6559
318.1,6566
318.1,6712
318.1,70307
318.1,70981
318.1,8847
318.1,9901
318.2,11320
318.2,119400
318.2,20654
318.2,28259
318.2,3318
318.2,33230
318.25,17933
318.25,27770
318.25,4548
318.25,88712
318.3,10485
318.3,12329
318.3,18384
318.3,18926
318.3,2240
318.3,23016
318.3,26361
318.3,39150
318.35,12043
318.35,4829
318.35,6881
318.3,7103
318.4,15126
318.4,38307
318.45,38966
318.45,7904
318.45,9093
318.4,6609
318.4,6967
318.4,7156
318.5,10099
318.5,10887
318.5,13339
318.5,14519
318.5,21579
318.5,36871
318.5,43288
318.5,4968
318.55,12822
318.55,13132
318.55,20581
318.55,21336
318.5,5417
318.6,48165
318.65,9566
318.6,8427
318.7,102679
318.7,10543
318.7,26041
318.75,104217
318.75,56314
318.8,25251
318.8,41687
318.85,4793
318.8,7506
318.8,9208
318.9,10034
318.9,3514
318.9,39086
318.9,4001
318.95,13103
318.95,18711
318.95,32310
318.95,5128
318.95,6074
318.95,6480
318.95,6856
318.95,7241
318.95,7923
318.9,71189
318.9,7587
318.9,7733
318.9,8339
319.0,10003
319.0,10119
319.0,10132
319.0,10188
319.0,10918
319.0,11068
319.0,11562
319.0,11785
319.0,12594
319.0,14571
319.0,15341
319.0,153747
319.0,16605
319.0,16819
319.0,17302
319.0,17648
319.0,18034
319.0,19668
319.0,19986
319.0,22355
319.0,25210
319.0,2672
319.0,2701
319.0,27418
319.0,28647
319.0,2996
319.0,30061
319.0,3084
319.0,31113
319.0,3369
319.0,3648
319.0,36723
319.0,4048
319.0,40868
319.0,4125
319.0,4213
319.0,4229
319.0,42671
319.0,4300
319.0,4439
319.0,4486
319.0,4506
319.0,4586
319.0,4944
319.05,10379
319.05,10714
319.05,10734
319.05,12146
319.05,14415
319.05,14809
319.05,17969
319.05,20574
319.05,20723
319.0,5291
319.05,3379
319.0,5343
319.05,3450
319.0,5378
319.05,4730
319.05,4754
319.05,4854
319.05,4960
319.05,54483
319.05,6118
319.05,6132
319.05,6584
319.05,7116
319.05,8067
319.05,8969
319.0,59336
319.0,6018
319.0,6026
319.0,6088
319.0,6119
319.0,6153
319.0,6218
319.0,6446
319.0,64653
319.0,6630
319.0,6652
319.0,6668
319.0,6720
319.0,6724
319.0,6900
319.0,6987
319.0,7054
319.0,7166
319.0,7257
319.0,7354
319.0,7490
319.0,7526
319.0,7818
319.0,7925
319.0,7988
319.0,8313
319.0,8500
319.0,8504
319.0,8606
319.0,86949
319.0,8754
319.0,8774
319.0,9065
319.0,9119
319.0,9445
319.0,9581
319.0,9636
319.0,9643
319.0,9815
319.0,9823
319.0,9929
319.1,12848
319.1,14800
319.1,20076
319.1,25846
319.1,30311
319.1,3295
319.1,3349
319.15,10138
319.15,16404
319.15,19085
319.1,5279
319.15,31813
319.15,41981
319.15,51882
319.15,6233
319.15,73788
319.1,5784
319.15,7987
319.1,5969
319.1,6456
319.1,7934
319.1,84124
319.2,15046
319.2,16514
319.2,22989
319.2,41228
319.2,416886
319.2,46365
319.25,26659
319.25,50524
319.2,6293
319.2,7646
319.2,9503
319.3,10681
319.3,18649
